Type,Identifier,Deck,Segment,Zone,Ax,Ay,a,b
PbB,Pb1,0,NO,Pb,20,-0.5,1,30,
PbB,Pb2,1,NO,Pb,30,-0.5,1,35,
PaB,Pa1,1,NO,Pa,65,-6.68163,13.3633,10,
PaB,Pa2,0,NO,Pa,90,-3.4359,6.87181,10,
PaB,Pa3,2,NO,Pa,60,-6.53625,13.0725,10,
OB,O1,-1,14,Z0,75.8059,-4.83144,9.66288,4.19407,
OB,O2,-1,14,Z0,66.7236,-5.85797,6.24392,9.08237,
OB,O3,-1,14,Z0,60,-6.32273,7.08774,6.72357,
OB,O4,-1,13,Z0,50,-6.58037,6.18037,10,
OB,O5,-2,15,Z0,40.3968,-4.05581,8.11161,4.60318,
OB,O6,-2,16,Z0,50,-0.630958,3.63096,7.40301,
OB,O7,-1,14,Z0,60,0.765019,5.55771,6.72357,
OB,O8,-2,16,Z0,61.723,-3,4.33133,3.27703,
OB,O9,-2,18,Z0,70,-3.26009,2.76009,10,
OB,O10,-2,15,Z0,18,-3.83015,7.6603,22.3968,
OB,O11,-2,16,Z0,50,-3,2.36904,7.40301,
OB,O12,-1,14,Z0,66.7236,0.385945,5.47203,9.08237,
OB,O13,-2,16,Z0,61.723,1.33133,1.66867,3.27703,
OB,O14,-2,16,Z0,57.403,-3,6,4.31996,
OB,O15,-2,17,Z0,70,0.5,2.76009,10,
OB,O16,-1,8,Z0,10,3,3.5518,33.8619,
OB,O17,-1,8,Z0,43.8619,3,3.58037,6.13811,
OB,O18,0,6,Z0,57.5817,-0.84342,3.83872,3.04991,
OB,O19,0,6,Z0,50,2.40998,1.66395,3.44392,
OB,O20,-1,10,Z0,26.931,-6.32244,3.32244,4.07392,
OB,O21,-1,11,Z0,45.8572,-2.5,5,3.34285,
OB,O22,-1,11,Z0,42.1021,0.369542,2.13046,3.75505,
OB,O23,-1,11,Z0,42.1021,-1.11318,1.48272,3.75505,
OB,O24,-1,11,Z0,38.064,-2.5,5,4.03815,
OB,O25,-1,10,Z0,10,-5.82864,2.82864,7.26074,
OB,O26,0,6,Z0,61.7335,-7.23587,9.80562,5.54717,
OB,O27,-1,11,Z0,42.1021,-2.5,1.38682,3.75505,
OB,O28,0,6,Z0,50,-7.5,2.37326,3.44392,
OB,O29,-1,7,Z0,2,-5.45492,10.9098,8,
OB,O30,-1,11,Z0,31,-2.5,5,7.06395,
OB,O31,-1,10,Z0,23.0969,-6.20428,3.20428,3.83406,
OB,O32,-1,10,Z0,48.0461,-6.58037,3.58037,1.95395,
OB,O33,-1,10,Z0,31.0049,-6.47969,3.47969,7.16795,
OB,O34,-1,10,Z0,38.1728,-6.57285,3.57285,9.87321,
OB,O35,-1,10,Z0,17.2607,-6.07145,3.07145,5.83617,
OB,O36,0,6,Z0,60.6316,0.929049,6.35592,1.10188,
OB,O37,0,6,Z0,72.666,-6.45418,12.9084,2.33405,
OB,O38,0,6,Z0,60.6316,-5.98537,2.87742,1.10188,
OB,O39,0,4,Z0,36.4876,0.5,2.64606,5.97471,
OB,O40,0,6,Z0,60.6316,-0.0866371,1.01569,1.10188,
OB,O41,0,4,Z0,44.7275,4.12517,3.3679,1.11239,
OB,O42,0,4,Z0,28.3725,0.5,6.90177,3.6825,
OB,O43,0,4,Z0,20,0.5,6.8003,4.33857,
OB,O44,0,4,Z0,42.4624,0.5,4.08515,2.26519,
OB,O45,0,4,Z0,45.8399,0.5,7,4.16007,
OB,O46,0,5,Z0,23.8387,-5.77147,3.09983,3.73285,
OB,O47,0,4,Z0,24.3386,0.5,6.85882,4.0339,
OB,O48,0,5,Z0,27.5716,-3.15368,2.65368,4.00991,
OB,O49,0,4,Z0,36.4876,3.14606,4.33478,5.97471,
OB,O50,0,6,Z0,67.2806,-3.12598,5.60535,5.38531,
OB,O51,0,5,Z0,23.8387,-2.67164,2.17164,3.73285,
OB,O52,0,6,Z0,53.4439,-7.46504,2.35983,4.13775,
OB,O53,0,6,Z0,60.6316,-7.28497,1.2996,1.10188,
OB,O54,0,4,Z0,42.4624,4.58515,1.78928,2.26519,
OB,O55,0,5,Z0,31.5815,-7.46898,6.96898,8.50912,
OB,O56,0,4,Z0,42.4624,6.37443,1.11678,2.26519,
OB,O57,0,5,Z0,27.5716,-7.39625,4.24257,4.00991,
OB,O58,0,5,Z0,44.3431,-4.38253,3.88253,5.28243,
OB,O59,0,6,Z0,61.7335,2.56974,4.66613,5.54717,
OB,O60,0,6,Z0,53.4439,-5.10521,3.75252,4.13775,
OB,O61,0,6,Z0,50,-1.39977,3.80975,3.44392,
OB,O62,0,5,Z0,23.8387,-7.34879,1.57732,3.73285,
OB,O63,0,4,Z0,32.055,0.5,1.67567,4.43268,
OB,O64,0,6,Z0,50,4.07393,3.42607,3.44392,
OB,O65,0,6,Z0,67.2806,-6.91471,3.78873,5.38531,
OB,O66,0,4,Z0,44.7275,0.5,3.62517,1.11239,
OB,O67,0,5,Z0,40.0906,-7.49024,6.99024,4.25248,
OB,O68,0,5,Z0,20,-7.2928,3.8769,3.83871,
OB,O69,0,4,Z0,32.055,2.17567,5.26729,4.43268,
OB,O70,0,5,Z0,49.6255,-7.5,7,0.374497,
OB,O71,0,6,Z0,57.5817,-7.38029,2.80407,3.04991,
OB,O72,0,6,Z0,50,-5.12674,3.72697,3.44392,
OB,O73,0,6,Z0,57.5817,5.76675,1.61354,3.04991,
OB,O74,0,6,Z0,57.5817,-4.57622,3.7328,3.04991,
OB,O75,0,6,Z0,53.4439,-1.35269,8.81773,4.13775,
OB,O76,0,6,Z0,67.2806,2.47937,4.43535,5.38531,
OB,O77,0,6,Z0,57.5817,2.9953,2.77144,3.04991,
OB,O78,0,5,Z0,20,-3.4159,2.9159,3.83871,
OB,O79,0,5,Z0,44.3431,-7.49938,3.11685,5.28243,
OB,O80,0,6,Z0,60.6316,-3.10795,3.02131,1.10188,
OB,O81,1,2,Z0,33.5136,2.94597,4.11238,3.89108,
OB,O82,0,3,Z0,6.7514,-7.01856,14.0371,3.2486,
OB,O83,1,2,Z0,60.1367,0.5,6.41629,4.86332,
OB,O84,1,2,Z0,41.8699,0.5,6.6072,7.77357,
OB,O85,1,1,Z0,56.9997,-7.00993,6.50993,7.65174,
OB,O86,1,2,Z0,30,0.5,1.27687,3.51357,
OB,O87,1,2,Z0,30,1.77687,1.75228,3.51357,
OB,O88,1,2,Z0,49.6435,0.5,6.6072,10.4932,
OB,O89,1,2,Z0,37.4046,0.5,6.58569,4.4653,
OB,O90,1,2,Z0,30,3.52914,3.49704,3.51357,
OB,O91,0,3,Z0,0,-6.93733,13.8747,6.7514,
OB,O92,1,2,Z0,33.5136,0.5,2.44597,3.89108,
OB,O93,1,1,Z0,32.8462,-3.92095,3.42095,5.36242,
OB,O94,1,1,Z0,32.8462,-7.06499,3.14405,5.36242,
OB,O95,1,1,Z0,30,-4.21991,1.95061,2.8462,
OB,O96,1,1,Z0,30,-7.01862,1.29069,2.8462,
OB,O97,1,1,Z0,64.6514,-6.69988,6.19988,0.348584,
OB,O98,1,1,Z0,30,-2.26929,1.76929,2.8462,
OB,O99,1,1,Z0,38.2086,-7.09137,6.59137,13.4845,
OB,O100,1,1,Z0,30,-5.72793,1.50802,2.8462,
OB,O101,1,1,Z0,51.6931,-7.09137,6.59137,5.30656,
